ANYO_PROCESO;CODIGO_CARRERA;NOMBRE_CARRERA;NOMBRE_UNIVERSIDAD;AREA_CONOCIMIENTO_SIES;VACANTES_REG;NUM_SELEC_REG;COMPLETA_VACANTES_REG;PROM_OBLIGATORIAS_ULTIMO_SELEC;PROM_OBLIGATORIAS_SD;PROM_OBLIGATORIAS_MIN;PROM_OBLIGATORIAS_P10;PROM_OBLIGATORIAS_P25;PROM_OBLIGATORIAS_PROM;PROM_OBLIGATORIAS_MED;PROM_OBLIGATORIAS_P75;PROM_OBLIGATORIAS_P90;PROM_OBLIGATORIAS_MAX
2024;11001;ARQUITECTURA;UNIVERSIDAD DE CHILE;ARTE Y ARQUITECTURA;210;233;1;784;51.97;672.5;740.6;762;802.65;800;840.5;868;948
2024;11003;ACTUACIÓN TEATRAL;UNIVERSIDAD DE CHILE;ARTE Y ARQUITECTURA;25;27;1;700.5;83.32;550;585.3;623.25;681.54;669.5;758.25;787.6;850.5
2024;11004;DISEÑO TEATRAL;UNIVERSIDAD DE CHILE;ARTE Y ARQUITECTURA;25;27;1;730;83.83;559;603.4;612.75;676;662;704.25;781.5;919
2024;11005;DISEÑO;UNIVERSIDAD DE CHILE;ARTE Y ARQUITECTURA;120;140;1;755.5;69.61;578;644.2;678.62;727.44;730.5;768;813.15;926
2024;11011;ARTES VISUALES, LIC. EN ARTES CON MENCIÓN EN;UNIVERSIDAD DE CHILE;ARTE Y ARQUITECTURA;90;97;1;719;61.99;563;639.7;674.5;710.06;703;750;798;903
2024;11016;TEORÍA E HISTORIA DEL ARTE, LIC. EN ARTES CON MENCIÓN EN;UNIVERSIDAD DE CHILE;ARTE Y ARQUITECTURA;35;35;1;609;58.65;560.5;610.5;638.5;675.19;674.5;706.5;755.3;817.5
2024;11017;TEORÍA DE LA MÚSICA;UNIVERSIDAD DE CHILE;ARTE Y ARQUITECTURA;20;23;1;653.5;78.73;625.5;647.9;670.5;725.54;708;765.25;816.1;912
2024;11020;INGENIERÍA AGRONÓMICA;UNIVERSIDAD DE CHILE;AGROPECUARIA;130;170;1;615;88.37;468;553.4;596.88;662.18;656.25;720.38;778.1;887.5
2024;11021;INGENIERÍA FORESTAL;UNIVERSIDAD DE CHILE;AGROPECUARIA;60;95;1;507;85.21;485.5;517.1;578.75;638.63;646;707.5;752.6;811.5
2024;11022;MEDICINA VETERINARIA;UNIVERSIDAD DE CHILE;AGROPECUARIA;180;210;1;757.5;52.64;647.5;721.95;747.25;783.86;780.5;819.38;852.5;955.5
2024;11024;INGENIERÍA EN RECURSOS NATURALES RENOVABLES;UNIVERSIDAD DE CHILE;TECNOLOGÍA;70;95;1;583;103.58;516;573.4;622.25;703.38;703.5;771.5;837.7;980
2024;11026;CONTADOR AUDITOR;UNIVERSIDAD DE CHILE;ADMINISTRACIÓN Y COMERCIO;72;99;1;725;57.27;662.5;732.6;770.5;805.8;814;847.75;871.4;940.5
2024;11027;INGENIERÍA EN INFORMACIÓN Y CONTROL DE GESTIÓN;UNIVERSIDAD DE CHILE;ADMINISTRACIÓN Y COMERCIO;143;206;1;708.5;52.66;667;751;780.62;816.32;817.25;853.5;884;937
2024;11028;PEDAGOGÍA EN EDUCACIÓN MEDIA EN MATEMÁTICA Y FÍSICA;UNIVERSIDAD DE CHILE;EDUCACIÓN;45;55;1;625;79.11;592;673.6;711;772.42;763;835;878.5;907.5
2024;11029;BIOLOGÍA CON MENCIÓN EN MEDIO AMBIENTE;UNIVERSIDAD DE CHILE;CIENCIAS BÁSICAS;35;41;1;706.5;72.89;638.5;697.5;756.5;797.02;794;836;887;944
2024;11030;BIOQUÍMICA;UNIVERSIDAD DE CHILE;CIENCIAS BÁSICAS;39;49;1;828.5;36.52;791.5;815.8;834;862.67;863.5;888;907.2;949.5
2024;11031;INGENIERÍA EN ALIMENTOS;UNIVERSIDAD DE CHILE;TECNOLOGÍA;36;51;1;498.5;93.33;482.5;561;593.25;664.25;647.5;723.75;775.5;893.5
2024;11032;LIC. EN CIENCIAS CON MENCIÓN EN BIOLOGÍA;UNIVERSIDAD DE CHILE;CIENCIAS BÁSICAS;25;31;1;706.5;81.8;630;661;707.25;768.08;763.5;822;870;920.5
2024;11033;LIC. EN CIENCIAS CON MENCIÓN EN FÍSICA;UNIVERSIDAD DE CHILE;CIENCIAS BÁSICAS;25;32;1;812;43.92;751.5;801.65;812.75;845.47;843.5;872.38;900.35;943
2024;11034;LIC. EN CIENCIAS CON MENCIÓN EN MATEMÁTICAS;UNIVERSIDAD DE CHILE;CIENCIAS BÁSICAS;25;31;1;859.5;66.86;635;708.5;745.75;786.94;774.5;839.5;859.5;948
2024;11035;QUÍMICA;UNIVERSIDAD DE CHILE;CIENCIAS BÁSICAS;39;52;1;772;70.89;638;669.2;693.88;756.42;758.5;800.12;835.35;949.5
2024;11036;LIC. EN CIENCIAS CON MENCIÓN EN QUÍMICA;UNIVERSIDAD DE CHILE;CIENCIAS BÁSICAS;20;26;1;531.5;94.38;483.5;551.75;602.25;662.4;640.75;720.38;794.25;842.5
2024;11037;QUÍMICA Y FARMACIA;UNIVERSIDAD DE CHILE;SALUD;139;154;1;688;45.54;683;785.9;807.88;838.93;838;871.25;894.5;944.5
2024;11038;QUÍMICA AMBIENTAL;UNIVERSIDAD DE CHILE;CIENCIAS BÁSICAS;20;26;1;715.5;84.61;486.5;586.75;640.5;692.48;708;735.62;797.75;839
2024;11039;INGENIERÍA EN BIOTECNOLOGÍA MOLECULAR;UNIVERSIDAD DE CHILE;TECNOLOGÍA;35;41;1;866.5;43.6;808;818;855.5;880.96;877;920;939;959
2024;11040;ADMINISTRACIÓN PÚBLICA;UNIVERSIDAD DE CHILE;CIENCIAS SOCIALES;130;148;1;610.5;68.88;583.5;645.2;683.75;733.37;737.75;774;824.95;909.5
2024;11042;INGENIERÍA COMERCIAL;UNIVERSIDAD DE CHILE;ADMINISTRACIÓN Y COMERCIO;390;480;1;859.5;38.39;762.5;824.45;845.5;873.25;870.5;901.62;923.75;974.5
2024;11045;INGENIERÍA Y CIENCIAS - PLAN COMÚN;UNIVERSIDAD DE CHILE;TECNOLOGÍA;730;795;1;868.5;36.22;774;844.5;868;891.73;892;917.5;939;987.5
2024;11055;DERECHO;UNIVERSIDAD DE CHILE;DERECHO;400;431;1;797.5;59.8;669.5;744.5;775.75;821.8;821;867.5;898;968.5
2024;11060;ANTROPOLOGÍA - ARQUEOLOGÍA;UNIVERSIDAD DE CHILE;CIENCIAS SOCIALES;80;105;1;761;74.35;603.5;693.9;728.5;782.53;781.5;830;874.3;954
2024;11061;FILOSOFÍA, LICENCIATURA EN;UNIVERSIDAD DE CHILE;HUMANIDADES;80;100;1;548;87.93;487.5;548;593;658.05;654.5;707.5;779.25;868
2024;11062;GEOGRAFÍA;UNIVERSIDAD DE CHILE;CIENCIAS SOCIALES;40;45;1;575.5;97.95;556;583.3;621;702.39;685;756.5;851.8;905
2024;11063;HISTORIA, LICENCIATURA EN;UNIVERSIDAD DE CHILE;CIENCIAS SOCIALES;90;105;1;536;76.92;511;611.4;648;701.66;705.5;743.5;802;940.5
2024;11065;LINGÜÍSTICA Y LITERATURA INGLESAS, LICENCIATURA EN;UNIVERSIDAD DE CHILE;HUMANIDADES;78;93;1;592;59.93;561.5;612.1;651;693.11;691;745;773.9;815
2024;11068;PERIODISMO;UNIVERSIDAD DE CHILE;CIENCIAS SOCIALES;117;137;1;713;61.07;636;689.5;721.5;764.22;760;808;849.6;940.5
2024;11069;PSICOLOGÍA;UNIVERSIDAD DE CHILE;CIENCIAS SOCIALES;57;67;1;882.5;42.36;790;826.3;849.75;882.93;885.5;916.25;932.4;979
2024;11070;SOCIOLOGÍA;UNIVERSIDAD DE CHILE;CIENCIAS SOCIALES;100;120;1;711;81.6;571.5;633.25;678.75;733.34;731.5;785.12;853.4;910.5
2024;11072;LINGÜÍSTICA Y LITERATURA CON MENCIÓN, LICENCIATURA EN;UNIVERSIDAD DE CHILE;HUMANIDADES;100;120;1;743.5;85.08;538;601.55;635;697.63;682;752.75;809.35;955
2024;11078;BACHILLERATO, PROGRAMA ACADÉMICO DE;UNIVERSIDAD DE CHILE;CIENCIAS BÁSICAS;300;381;1;663.5;61.86;660;731.5;760;807.64;801.5;856;894.5;967.5
2024;11080;ENFERMERÍA;UNIVERSIDAD DE CHILE;SALUD;97;102;1;784;43.48;726;781.15;799;830.38;829.75;865.25;886.4;939.5
2024;11081;FONOAUDIOLOGÍA;UNIVERSIDAD DE CHILE;SALUD;50;62;1;569.5;68.64;536;571;607.62;659.81;664;690.38;741.9;847
