"ID_aux";"CODIGO_UNIV";"CODIGO";"VIA";"PREFERENCIA";"PTJE_POND";"TIPO_MATRICULA"
"id_690126976014";51;51111;1;1;709,9;1
"id_831408370144";18;18075;1;1;713,45;1
"id_752607579265";44;44049;1;1;876,1;1
"id_772307770236";21;21043;1;1;643,3;2
"id_481904877199";41;41067;1;1;638,7;1
"id_414304172439";14;14005;1;2;722,55;1
"id_226402277641";46;46403;1;2;699,9;1
"id_335203377524";45;45034;1;1;511,5;1
"id_309003078902";19;19031;1;1;678,4;1
"id_647406475749";52;52100;1;1;554,4;1
"id_600806079086";55;55011;1;2;633,8;1
"id_924369271430";55;55046;1;2;640,8;1
"id_902969073298";19;19045;1;1;765,7;1
"id_535365374534";23;23029;1;0;0;9
"id_449564471953";49;49214;1;2;631,9;1
"id_399763977970";14;14008;1;1;640;1
"id_322563271250";52;52010;1;2;680,3;1
"id_040960473093";56;56108;1;5;639,5;1
"id_8864988276424";13;13050;2;1;632,35;4
"id_8515985971533";36;36061;1;3;509,45;1
"id_8535985473580";16;16047;1;1;655,8;1
"id_8740987274061";51;51154;1;2;642;1
"id_8746987674673";52;52070;1;2;584,4;1
"id_8243982974349";11;11055;1;4;837,7;1
"id_8263982976301";18;18096;1;1;785,15;1
"id_8243982174385";22;22058;1;1;659,9;1
"id_8302983170243";35;35087;1;2;771,7;1
"id_8389983478963";45;45034;1;1;559,4;1
"id_8085980278500";11;11520;1;1;695,1;1
"id_8684986178438";48;48008;1;1;678,5;1
"id_8632986073245";55;55031;1;6;602,9;1
"id_9978999577846";53;53406;1;1;498,15;3
"id_9950999675025";20;20024;1;3;564,25;1
"id_9538995573892";26;26029;1;10;559,9;1
"id_9715997971524";55;55086;1;1;645,6;1
"id_9719997571949";55;55115;1;4;547,2;1
"id_9709997670951";45;45004;1;1;640,2;1
"id_9295992279529";46;46306;1;1;776,5;1
"id_9395993179535";52;52070;1;2;579,5;1
"id_9062990176269";46;46301;1;4;497,6;1
"id_9669996976942";55;55115;1;1;728,5;1
"id_5853958575350";56;56508;1;1;603,6;1
"id_5902959570230";26;26082;1;1;425,85;1
"id_5509955870920";50;50528;1;1;624;1
"id_5545955574570";56;56516;1;1;766,7;1
"id_5153951175358";26;26083;1;1;740,7;1
"id_5194951479492";26;26303;1;3;680,2;1
"id_5192951679238";56;56324;1;1;695;1
"id_5482954778228";36;36056;1;1;652,95;1
"id_5487954378735";55;55005;1;3;557;1
"id_5213952371395";50;50921;1;1;709,7;1
"id_5292952079222";56;56127;1;1;611;1
"id_5354953075493";53;53204;1;1;721,05;1
"id_5375953077560";35;35075;1;1;692,6;1
"id_5379953677957";16;16038;2;1;673,5;4
"id_5049950574965";26;26071;1;3;596,3;1
"id_5044950774486";22;22059;1;1;577;1
"id_5031950773165";55;55005;1;1;596,5;1
"id_5035950173505";26;26005;1;1;783,8;1
