hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,country,distribution_channel,is_repeated_guest,previous_cancellations,adr
Resort Hotel,0,342,2015,July,27,1,0,0,2,0,0,PRT,Direct,0,0,0
Resort Hotel,0,737,2015,July,27,1,0,0,2,0,0,PRT,Direct,0,0,0
Resort Hotel,0,7,2015,July,27,1,0,1,1,0,0,GBR,Direct,0,0,75
Resort Hotel,0,13,2015,July,27,1,0,1,1,0,0,GBR,Corporate,0,0,75
Resort Hotel,0,14,2015,July,27,1,0,2,2,0,0,GBR,TA/TO,0,0,98
Resort Hotel,0,14,2015,July,27,1,0,2,2,0,0,GBR,TA/TO,0,0,98
Resort Hotel,0,0,2015,July,27,1,0,2,2,0,0,PRT,Direct,0,0,107
Resort Hotel,0,9,2015,July,27,1,0,2,2,0,0,PRT,Direct,0,0,103
Resort Hotel,1,85,2015,July,27,1,0,3,2,0,0,PRT,TA/TO,0,0,82
Resort Hotel,1,75,2015,July,27,1,0,3,2,0,0,PRT,TA/TO,0,0,105.5
Resort Hotel,1,23,2015,July,27,1,0,4,2,0,0,PRT,TA/TO,0,0,123
Resort Hotel,0,35,2015,July,27,1,0,4,2,0,0,PRT,TA/TO,0,0,145
Resort Hotel,0,68,2015,July,27,1,0,4,2,0,0,USA,TA/TO,0,0,97
Resort Hotel,0,18,2015,July,27,1,0,4,2,1,0,ESP,TA/TO,0,0,154.77
Resort Hotel,0,37,2015,July,27,1,0,4,2,0,0,PRT,TA/TO,0,0,94.71
Resort Hotel,0,68,2015,July,27,1,0,4,2,0,0,IRL,TA/TO,0,0,97
Resort Hotel,0,37,2015,July,27,1,0,4,2,0,0,PRT,TA/TO,0,0,97.5
Resort Hotel,0,12,2015,July,27,1,0,1,2,0,0,IRL,TA/TO,0,0,88.2
Resort Hotel,0,0,2015,July,27,1,0,1,2,0,0,FRA,Corporate,0,0,107.42
Resort Hotel,0,7,2015,July,27,1,0,4,2,0,0,GBR,Direct,0,0,153
Resort Hotel,0,37,2015,July,27,1,1,4,1,0,0,GBR,TA/TO,0,0,97.29
