student_id,age,gender,academic_level,study_hours,self_study_hours,online_classes_hours,social_media_hours,gaming_hours,sleep_hours,screen_time_hours,exercise_minutes,caffeine_intake_mg,part_time_job,upcoming_deadline,internet_quality,mental_health_score,drug_use,focus_index,burnout_level,productivity_score,exam_score
1,20.0,,Undergraduate,5.37,2.09,1.85,3.66,2.32,7.73,5.68,54.0,475.0,No,0.0,Good,3.0,,19.01,31.77,42.59,25.08
2,16.0,Female,High School,5.85,5.04,1.87,3.6,2.79,6.11,8.96,63.0,362.0,no,0.0,Good,10.0,,42.1,45.89,67.15,37.83
3,18.0,Female,Undergraduate,5.69,2.27,0.0,2.93,3.94,7.11,11.02,28.0,200.0,No,0.0,Average,5.0,,21.93,37.07,37.68,18.66
4,24.0,Male,Undergraduate ,2.32,1.06,2.3,4.34,2.37,8.54,8.73,55.0,233.0,No,1.0,Poor,3.0,1.0,13.47,43.63,12.83,1.0
5,24.0,Female,Postgraduate,3.87,2.63,2.54,3.71,1.3,7.69,9.6,60.0,159.0,No,1.0,Poor,2.0,,19.95,56.62,18.53,7.78
6,19.0,Female,,6.0,2.66,1.14,3.38,0.99,6.75,5.11,43.0,392.0,No,0.0,Poor,4.0,,23.53,37.93,42.4,12.74
7,18.0,Other,Undergraduate,0.55,2.17,0.72,3.27,1.94,8.92,7.09,52.0,399.0,Yes,0.0,Poor,5.0,1.0,14.23,29.42,15.78,11.17
8,22.0,Female,Postgraduate,0.72,1.43,1.1,0.0,4.79,6.73,5.48,125.0,484.0,Yes,0.0,Poor,3.0,1.0,13.31,38.73,6.74,5.46
9,16.0,Female,Undergraduate ,4.53,3.0,0.52,4.09,4.13,6.84,5.94,26.0,174.0,yes,1.0,Poor,3.0,,26.0,58.88,17.96,4.79
10,24.0,Female,Postgraduate,5.09,2.68,0.95,0.63,0.7,4.65,4.31,148.0,86.0,Yes,1.0,Poor,1.0,,35.22,53.75,25.24,19.46
11,21.0,Male,High School,4.17,3.43,2.54,2.43,1.77,6.63,5.88,16.0,389.0,Yes,0.0,Average,9.0,,38.71,42.64,39.38,26.23
12,24.0,Female,Undergraduate,7.33,1.84,0.93,0.0,2.52,5.44,7.14,1.0,416.0,No,0.0,Average,1.0,,23.42,40.55,40.13,7.81
13,18.0,Male,Undergraduate,4.09,2.56,2.91,2.58,1.18,7.34,1.0,102.0,141.0,Yes,1.0,Average,4.0,,30.97,24.7,36.8,28.46
14,20.0,Male,Postgraduate,4.42,1.84,2.05,5.02,2.39,6.37,5.03,134.0,26.0,No,1.0,Poor,2.0,,17.4,40.53,25.2,1.42
15,21.0,,Postgraduate,3.37,,1.7,3.78,1.63,6.17,4.62,122.0,146.0,Yes,0.0,Poor,,,,,37.48,18.83
16,17.0,Male,High School,8.23,2.55,4.11,1.84,1.08,7.83,8.63,121.0 min,423.0,Yes,1.0,Poor,4.0,,31.67,61.29,54.89,26.5
17,17.0,Male,Postgraduate,7.95,3.8,1.39,3.0,1.82,6.92,10.51,10.0,177.0,No,0.0,Poor,3.0,,33.59,40.6,49.63,27.36
